Keyword                    ,low,high    ,type               ,scope,source     ,table     ,comments__20160617,,
SIGNIFICANT_DIGITS              ,0*,1*,Integer            ,v,PI         ,12,,If PARAM_TYPE = SUPPORT NOT required; otherwise required,
FILLVAL                         ,1,1,Numerical          ,v,PI         ,12,Float (Numerical -> can point to a VARIABLE),,
QUALITY                         ,0*,1*,Integer            ,v,PI         ,12,,If PARAM_TYPE = SUPPORT NOT required; otherwise required,"IF Quality points to a parameter in this dataset, that parameter must exist."
PARAMETER_CAVEATS               ,0,1,String             ,v,PI         ,12,,,
FIELDNAM                        ,0,1,String             ,,PI         ,13,,,
LABLAXIS                        ,0,1,String             ,v,PI         ,13,,,
SCALEMIN                        ,0,1,Numerical          ,v,PI         ,13,Float (Numerical -> can point to a VARIABLE),,
SCALEMAX                        ,0,1,Numerical          ,v,PI         ,13,Float (Numerical -> can point to a VARIABLE),,
SCALETYP                        ,0,1,Enumerated         ,v,PI         ,13,,,
DISPLAYTYPE                     ,0,1,Enumerated         ,v,PI         ,13,,,
LOGICAL_FILE_ID                 ,1,1,String             ,m,PI         ,14,update Logical -> String,,
PARENT_DATASET                  ,1,1,String             ,m,PI         ,14,,,
VERSION_NUMBER                  ,1,1,Integer            ,m,PI         ,14,,,
DATASET_VERSION                 ,1,1,Text               ,m,PI         ,14,,,
FILE_TYPE                       ,1,1,Enumerated         ,m,PI         ,14,,,
FILE_TIME_SPAN                  ,1,1,ISO_TIME_RANGE     ,m,PI         ,14,,,
GENERATION_DATE                 ,1,1,ISO_TIME           ,m,PI         ,14,,,
INGESTION_DATE                  ,1,1,ISO_TIME           ,m,CAA        ,14,,,
FILE_SIZE                       ,1,1,Numerical          ,m,CAA        ,14,Float (Numerical -> can point to a VARIABLE),,
METADATA_TYPE                   ,0,1,Enumerated         ,m,PI         ,14,,,
METADATA_VERSION                ,0,1,Text               ,m,PI         ,14,,,
FILE_CAVEATS                    ,0,1,String             ,m,PI         ,14,,,
FILE_NAME                ,1,1,String             ,g,XX,17,,,
FILE_FORMAT_VERSION            ,1,1,String             ,g,XX,17,,,
DATA_UNTIL                  ,1,1,String             ,g,XX,17,,,
